000-01 	Capcom 	Steel Battalion Behemoth 	XBOX 	 	 	 	 
135 	Techni 	Rampart 	PC 	 	March 9, 2011 	 	 
136 	TAM 	Barcode Boy 	GBC 	 	April 11, 2011 	 	 
137 	Quickshot  	Joystick 	Other 	 	April 18, 2011 	 	 
138 	HORI 	Grip 	PS1 	 	April 28, 2011 	 	 
139 	Sony Ericcson 	Xperia Play 	AND 	 	April 29, 2011 	 	 
140 	Xwerx 	XtendPlay 	PS3 	 	May 3, 2011 	 	 
141 	Suncom 	FX 1000 x2 	PC 	 	May 9, 2011 	 	 
142-A 	Interact 	V3 Steering Wheel 	PC 	 	May 9, 2011 	 	 
142-B 	Interact 	V3 Steering Wheel 2 	PS1 	 	April 1, 2017 	 	 
143 	Nintendo 	Pokéyboard 	DS 	 	May 19, 2011 	 	 
144 	SEGA 	Mouse 	DC 	 	May 29, 2011 	 	 
145 	Logitech 	G15 Gaming Keyboard 	PC 	 	June 10, 2011 	 	 
146 	Sony 	Chotto Shot Mark II 	PSP 	 	June 13, 2011 	 	 
147 	RedOctane 	Band Hero Drum grip 	DS lite 	 	July 13, 2011 	 	 
148-A 	Gametech 	Bear 	PSP go 	 	July 15, 2011 	 	 
148-B 	 	Game Klip 	PSP go/AND/iOS 	 	May 5, 2018 	 	 
149 	MadCatz 	Tatsunoku vs Capcom Fight Stick 	Wii 	 	July 21, 2011 	 	 
150 	Sony 	LiveView 	AND 	 	August 10, 2011 	 	 
151 	Sifteo 	Sifteo Cubes 	PC 	 	October 6, 2011 	 	 
152 	GoEasily/Shogun Bros 	Chameleon X-1 	PC 	 	October 9, 2011 	 	 
153 	HORI 	Tactical Assault Commander 3 	PS3 	 	October 25, 2011 	 	 
154 	Sony 	3DTV 	PS3 	 	November 15, 2011 	 	 
155 	THQ 	uDraw Gametablet II 	PS3 	 	November 15, 2011 	 	 
156-A 	Nintendo 	Gold Wiimote Plus 	Wii 	 	November 20, 2011 	 	 
156-B 	Nintendo 	Gold Nunchuck 	Wii 	 	February 28, 2012 	 	 
156-C 	Nintendo 	Gold Classic Pro 	Wii/NES Classic/SNES Classic 	 	March 3, 2012 	 	 
156-D 	Nintendo 	Gold Nintendo64 controller 	N64 	 	 	 	 
156-E 	Nintendo 	Wii Wheel 	Wii 	 	May 29, 2015 	 	 
157 	SEGA 	Wappy Dog 	DS 	 	November 23, 2011 	 	 
158-A 	Nintendo 	Expansion Analog Nub 	3DS 	 	January 2, 2012 	 	 
158-B 	Nintendo 	Expansion Analog Nub 	3DS XL 	 	May 23, 2014 	 	 
159 	Activision 	Cabela's Big Hunt Gun 	360 	 	February 18, 2012 	 	 
160-A 	Sony 	PSP go 	PSP go 	 	May 31, 2010 	 	 
160-B 	Sony 	PSP go dock 	PSP go 	 	 	 	 
161 	Pdp 	Trigger grip 	PSP2 	 	April 4, 2012 	 	 
162 	Innovation 	Smash Controller 	Genesis 	 	May 8, 2012 	 	 
163 	Global A Entertainment 	Maestro Baton 	PS1 	 	May 17, 2012 	 	 
164 	Bandai 	Sailor Moon's Wand 	Playdia 	 	May 23, 2012 	 	 
165 	Microsoft 	Sidewinder Dual Strike 	PC 	 	June 19, 2012 	 	 
166 	Zeemote 	JS1 	AND 	 	June 20, 2012 	 	 
167 	MadCatz 	Beat Pad 	360 	 	June 23, 2012 	 	 
168 	Taito 	Stepper 	PS1 	 	July 3, 2012 	 	 
169 	BanPresto 	8-Bit Goomba Mouse 	PC 	 	July 4, 2012 	 	 
170 	New Potato Technologies, Inc 	Pinball Magic 	iOS 	 	July 4, 2012 	 	 
171 	New Potato Technologies, Inc 	Jackpot Slots 	iOS 	 	July 5, 2012 	 	 
172 	ControllerMAX 	Cronus device 	PC/PS3/360/PS4/X1/VitaTV/AND 	 	July 24, 2012 	 	 
173 	 	Rumble Pack 	DS lite 	 	August 7, 2012 	 	 
174 	Bandai 	Pair Match 	Pair Match 	 	October 9, 2012 	 	 
175 	Atmark 	AppleJack 	Pippin 	 	October 18, 2012 	 	 
176 	Sony 	Move Racing Wheel 	PS3 	 	October 23, 2012 	 	 
177 	Activision 	FearMaster 	PS3 	 	October 29, 2012 	 	 
178 	Epoch 	Barcode Battler BB-II Interface 	SNES 	 	October 29, 2012 	 	 
179 	Atlus 	Hello Kitty 	PS1 	 	October 29, 2012 	 	 
180 	Atlus 	Guru Guru Town Hanamaru-kun 	PS1 	 	October 29, 2012 	 	 
181-A 	ASCII 	Seamic 	PS2 	 	 	 	 
181-B 	ASCII 	Gold Seamic 	PS2 	 	October 29, 2012 	 	 
182 	Nintendo 	Famicom Network controller 	FAM 	 	October 29, 2012 	 	 
183-A 	Nintendo 	Wii U Gamepad 	WiiU 	 	November 18, 2012 	 	 
183-B 	Nintendo 	Pro Controller 	WiiU 	 	November 18, 2012 	 	 
184 	G-Mate 	MAG II 	PS3\PC 	 	November 20, 2012 	 	 
185 	Sony 	WonderBook 	PS3 	 	December 19, 2012 	 	 
186 	PowerA 	MOGA 	Android 	 	December 24, 2012 	 	 
187 	Thrustmaster 	Wizzard Pinball Controller 	PC 	 	January 2, 2013 	 	 
188 	InterWorks 	Pro Controller U 	Wii\Wii U 	 	January 28, 2013 	 	 
189 	GreenThrottle 	Atlus 	Android 	 	January 28, 2013 	 	 
190 	Dream Cheeky 	Big Red Panic Button 	PC 	 	March 10, 2013 	 	 
191 	Global A Entertainment 	TamTam Paradise 	PS2 	 	March 11, 2013 	 	 
192 	ASCII 	Dance Summit 	PS2 	 	March 11, 2013 	 	 
193 	Konami 	DDR Hand Controller 	PS2 	 	March 11, 2013 	 	 
194 	 	V-pick 	PS2 	 	 	 	 
195 	Kickstarter 	Pebble 	Android/iOS 	 	April 8, 2013 	 	 
196 	Kickstarter 	Oculus Rift 	PC 	 	April 12, 2013 	 	 
197 	HORI 	Hatsune Miku -Project Diva- F Mini 	PS3 	 	May 25, 2013 	 	 
198 	Kickstarter 	OUYA 	Android 	 	May 27, 2013 	 	 
199 	Razer 	Koopa Mouse 	PC 	 	June 11, 2013 	 	 
200 	Thrustmaster 	Fragmaster 	PC 	 	July 2, 2013 	 	 
201 	Sony 	NSZ-GS7 Remote 	Android 	 	July 2, 2013 	 	 
202-A 	Intel 	Wireless series gamepad 	PC 	 	July 3, 2013 	 	 
202-B 	Intel 	Wireless series mouse 	PC 	 	 	 	 
203 	Razer 	Hydra 	PC 	 	July 15, 2013 	 	 
204 	Vintion Electronics Co., Ltd. 	MS-757 Multi-System Handstick 	PC 	 	July 16, 2013 	 	 
205 	HORI 	FPS Battle Stick 	PC 	 	July 17, 2013 	 	 
206 	Leap Motion 	Leap 	PC 	 	July 29, 2013 	 	 
207 	Datel 	Wildfire gaming dock 	PSP (2K/3K only) 	 	July 30, 2013 	 	 
208 	Black Powder Media Inc. 	iMpulse 	PC/AND/iOS 	 	August 7, 2013 	 	 
209 	Logitech 	Cyberman 2 	PC 	 	August 7, 2013 	 	 
210 	Big Ben Interactive 	Cyberbike 	Wii 	 	August 8, 2013 	 	 
211 	Nintendo 	Pokemon Tretta Lab 	3DS 	 	August 13, 2013 	 	 
212 	DOSO 	PSW-303 	PSP (1K/2K/3K only) 	 	August 13, 2013 	 	 
213 	 	Mickey Mouse controller 	PS1 	 	August 19, 2013 	 	 
214 	 	Winnie the Pooh controller 	PS1 	 	August 19, 2013 	 	 
215 	Media Factory 	Zok Zok Heroes 	GBC 	 	August 19, 2013 	 	 
216 	Takara 	Pluster World 	GBA 	 	August 19, 2013 	 	 
217 	Bandai 	Soul Dollz 	GBA 	 	August 19, 2013 	 	 
218 	Stelulu Technology 	Stinky Footboard 	PC 	 	August 26, 2013 	 	 
219 	Nintendo 	Pokemon Rumble U figures 	Wii U 	 	August 29, 2013 	 	 
220 	Game Technologies S.A. 	Dice+ 	Android/iOS 	 	September 10, 2013 	 	 
221 	Nintendo 	Balance Board 	Wii/Wii U 	 	 	 	 
222 	 	Ju C Air 	PC 	 	October 22, 2013 	 	 
223-A 	Sony 	DualShock 4 	PS4 	 	October 25, 2013 	 	 
223-B 	Sony 	Camera 	PS4 	 	October 25, 2013 	 	 
223-C 	Sony 	PS4 Camera Adapter 	PS5 	 	November 17, 2020 	 	 
224 	Hyperkin 	Pixel Art 	PC 	 	November 19, 2013 	 	 
225 	Sony 	Vita TV 	PSP2 	 	November 21, 2013 	 	 
226-1A 	Disney 	Infinity (Rapunzel figure) 	Misc 	 	November 26, 2013 	 	 
226-1B 	Disney 	Infinity Frozen set (Anna and Elsa figures) 	Misc 	 	November 27, 2013 	 	 
226-1C 	Disney 	Infinity Starter kit (Mr. Incredible, Sulley, Jack Sparrow, figures. Incredibles/Pirates of the Caribbean/Monsters Inc playset. Alice in Wonderland power disc), Mrs. Incredible, Violet Incredible, Vanellope Von Sweet figures 	Misc 	 	December 21, 2013 	 	 
226-1D 	Disney 	Infinity (Captain Barbossa, Davey Jones figures) 	Misc 	 	December 31, 2013 	 	 
226-1E 	Disney 	Infinity (Mater, Mike Wazowski figures) 	Misc 	 	January 1, 2014 	 	 
226-1F 	Disney 	Infinity (Mr. Incredible, Sulley, Jack Sparrow, Lightning McQueen, Buzz Lightyear, Lone Ranger crystal figures) 	Misc 	 	January 6, 2014 	 	 
226-1G 	Disney 	Infinity (Toy Story set (Buzz Lightyear & Jesse), Cars set (Lightning McQueen & Holley Shiftwell), Lone Ranger set (Lone Ranger & Tonto), Syndrome, Randy, Woody, Ralph, Jack Skellington figures) 	Misc 	 	January 8, 2014 	 	 
226-1H 	Disney 	Infinity (Dash, Francesco figures) 	Misc 	 	January 22, 2014 	 	 
226-1I 	Disney 	Infinity (Sorcerer's Apprentice Mickey) 	Misc 	 	February 13, 2014 	 	 
226-1J 	Disney 	Infinity (Agent P and Phineas figures) 	Misc 	 	March 17, 2014 	 	 
